我 I
没 not_have
有 to_have
问 to_ask
题 forehead
。 。
们 _
现 present
在 to_exist
钱 money
他 he
工 labour
作 to_do
吗 _
？ ？
爸 father
妈 mom
北 north
京 capital
房 house
子 child
你 you
手 hand
机 weaving_machine
上 upper_part
海 sea
朋 friend
友 friend
的 bright
老 old
师 division_of_2500_soldiers
男 man
都 metropolis
电 lightning
脑 brain
这 this
个 counter_for_articles
周 to_circle
末 tip
时 season
间 among
不 not
是 this
坏 unfired_pottery_and_bricks
孩 child
喝 to_drink
酒 alcoholic_beverages_in_general
今 now
天 sky
想 to_think
喜 happy
欢 happy
为 to_do
什 _
么 _
咖 _
啡 Used_in_transcription
饿 hungry
贵 expensive
公 public
司 to_take_charge_of
大 of_great_size
板 plank
很 very
高 tall
兴 to_rise
哥 older_brother
， ，
但 only
帅 to_command
认 to_recognize
识 to_know
J J
o o
h h
n n
明 bright
可 can
以 a_preposition_that_expresses_a_boundary_in_time
去 to_leave
用 to_use
w w
i i
k k
要 to_demand
冰 ice
水 _
两 two
爱 to_love
和 peaceful
美 beautiful
国 a_land
人 man
太 too
吃 to_eat
肉 meat
中 middle
菜 vegetable
她 she
也 also
学 to_comprehend
生 to_live
一 one
儿 child
法 law
文 writing
会 union
饺 stuffed_dumpling
来 to_come
家 home
觉 to_wake_up
得 to_get
好 good
胖 fat
湖 lake
南 south
辣 spicy
种 a_surname
地 earth
方 parallel
漂 to_float
亮 bright
昨 yesterday
冷 cold
气 gas
了 Used_after_a_verb_to_indicate_perfective_aspect
！ ！
麻 general_name_for_hemp
烦 agitated
餐 to_eat
厅 hall
茶 tea
爷 father
奶 breast
7 _
0 _
岁 Jupiter
女 woman
德 virtue
语 to_speak
难 N
还 to_return_to_a_place
热 hot
英 flower
2 _
年 year
4 _
5 _
8 _
四 four
三 three
苹 _
果 fruit
五 five
星 star
期 to_arrange_a_time
六 six
月 moon
婆 old_woman
十 ten
七 seven
傻 foolish
八 eight
外 out
包 to_wrap_up
1 _
6 _
号 number
9 _
日 Sun
新 new
平 level
安 calm
夜 night
出 to_go_out
结 to_tie
婚 to_marry
九 nine
点 dot
午 the_seventh_of_twelve_earthly_branches
下 lower
二 two
晚 evening
半 half
校 school
名 name
说 to_say
东 east
西 west
车 land_vehicle
空 empty
呢 Sentence
走 to_go
吧 Emphatic_final_particle
快 pleased
给 to_give
香 fragrant
港 tributary_of_a_larger_river_or_lake
休 to_rest
息 to_breathe
便 convenient
宜 appropriate
面 face
办 to_deal_with
室 room
谁 who
楼 building
多 many
小 small
狗 dog
本 root
牛 bovine
里 li
杯 drinkware
码 digit
百 hundred
块 piece
P P
a a
d d
课 lesson
叫 to_be_called
T T
m m
李 plum
龙 Chinese_dragon
马 horse
那 that
滩 shoal
洗 to_wash
超 to_jump_over
市 city
园 garden
旅 brigade
行 to_walk
饭 any_cooked_grain
买 to_buy
姓 surname
王 king
张 to_string_a_bow
林 forest
毛 hair
赵 an_ancient_city
陈 to_exhibit
能 a_kind_of_bear
帮 _
找 to_look_for
到 to_arrive_at_a_destination
网 net
宝 precious_objects
话 words
开 even
早 early
声 sound
告 to_report_to
诉 to_tell
千 thousand
写 to_place
汉 Han_River
字 letter
做 to_do
唱 to_lead_in_singing
歌 to_sing
游 to_swim
泳 to_swim
e e
打 to_hit
见 to_see
班 group
后 king
回 to_turn_around
进 to_advance
玩 to_play_with
停 to_stop
看 to_look
抽 to_draw_out
烟 _
脏 internal_organs
睡 to_sleep
累 to_pile_up
怎 how
坐 to_sit
铁 iron
知 to_know
道 way
跟 heel
芒 Miscanthus_sinensis
" "
A A
p p
l l
啤 beer
哭 to_weep
候 to_reconnoitre
米 hulled_or_husked_uncooked_rice
忙 busy
厕 toilet
所 place
远 The_meaning_of_this_term_is_uncertain
弟 younger_brother
鱼 fish
过 to_cross
飞 to_fly
对 correct
影 shadow
样 appearance
妹 younger_sister
巧 skill
克 to_be_able_to
力 physical_strength
M M
x x
死 to_die
几 
件 to_separate
衣 garment
服 
丑 second_of_twelve_earthly_branches_
差 to_differ_from
词 word
意 wish
思 to_think
S S
t t
r r
b b
u u
c c
s s
C C
门 gate
口 mouth
始 beginning
住 to_live
前 front
f f
轻 light
城 city_wall
书 book
澡 to_wash_one
阿 Prefix_used_in_front_of_the_surname_or_last_character_of_someone
姨 maternal_aunt
正 straight
扫 to_clean_with_a_broom
离 a_kind_of_legendary_beast
请 to_ask
等 
戏 to_play
直 straight
习 to_flap
业 profession
教 to_teach
已 to_stop
经 warp
感 to_move
冒 
猫 from_794
需 to_await
父 father
母 mother
G G
g g
总 to_collect
迟 late
忘 to_forget
记 to_record
干 to_concern
净 clean
非 not_be
常 normal
心 heart
特 
别 to_divide
努 to_exert
淇 The_name_of_a_river_that_originates_in_Henan
淋 to_pour
堡 small_camp
刚 firm
只 only
员 member
黄 yellow
河 Yellow_River
长 long
待 to_wait_for
久 long
些 some
重 heavy
冬 winter
性 nature
格 pattern
化 to_change
头 head
发 to_shoot
吵 noisy
舒 to_open_up
变 to_change
更 to_change
桌 table
碗 bowl
次 order
雨 rain
当 to_face
理 to_cut_and_polish_jade
台 
湾 bay
U U
F F
O O
火 fire
乐 music
起 to_rise
客 guest
户 door
带 belt
伞 umbrella
同 same
听 
视 to_watch
近 near
春 spring
节 knot
完 whole
卖 to_sell
篇 bound_set_of_bamboo_slips_used_for_recordkeeping
黑 black
凉 cool
臭 bad_smell
再 again
醉 to_become_drunk
事 thing
情 feeling
汁 juice
笑 to_laugh
比 to_compare
秋 harvest_season
