男朋友 boyfriend
有时间 sometimes
为什么 why
不高兴 unhappy
美国人 US_American_person
中国菜 Chinese_cuisine
法国人 French_person
女朋友 girlfriend
英国人 British_person
一个人 alone
12月 December
平安夜 Christmas_Eve
10月 October
11月 November
十二点 twelve_o'clock
办公室 office
中国人 Chinese_person
有你的 You're_really_something!
洗手间 bathroom
你老板 your_boss
手机号 mobile_phone_number
星期天 Sunday
做什么 what_to_do
打电话 to_make_a_telephone_call
二十一 twenty
不可以 may_not
女孩子 girl
有钱人 the_rich
是不是 whether_or_not
好不好 Is_it_good
好朋友 good_friend
巧克力 chocolate
星期三 Wednesday
差不多 similar
年轻人 young_person
不方便 inconvenience
一会儿 a_little_while
八十五 eighty
有意思 interesting
冰淇淋 ice_cream
不一样 different
有一点 a_little
不舒服 uncomfortable
下雨了 It
星期五 Friday
中秋节 Mid-Autumn_Festival
开车的 driver
在一起 together
多少钱 how_much_money
三明治 sandwich
等一下 to_wait_a_moment
看不懂 to_not_understand
还可以 OK
后爸爸 stepfather
服务员 server
图书馆 library
会议室 meeting_room
外国人 foreigner
火车站 railway_station
怪叔叔 strange
听不懂 to_not_understand
上海话 The_Shanghainese_language
有一些 somewhat
半小时 half-hour
第一个 the_first
怎么样 how
星期一 Monday
四川菜 a_type_of_pickled_mustard_plant_stem_originating_from_Sichuan
不友好 unfriendly
圣诞节 holy_birth_festival
带孩子 to_look_after_a_child_or_baby
小时候 during_one's_childhood
地铁站 subway_station
不要太 very
星期六 Saturday
好意思 to_feel_no_shame
小笼包 xiaolongbao
胡萝卜 foreign_radish
没办法 there_is_nothing_to_be_done
有的是 to_have_plenty_of
二十三 twenty
四块半 coffin
